Player,Age,Tm,Pos,GP,G,A,PTS,PLMI,PIM,PS,EV,STPP,STSH,GW,EVA,PPA,SHA,S,SP,TTOI,BLK,HIT,FOW,FOL,FOP,CF,CA,CFP,CFPR,FF,FA,FFP,FFPR,OISH ,OISV ,PDO,OZS ,DZS ,TK,GV,EPLMI,TSA,THRUP,CAPHIT
Jonathan Toews,34,CHI,C,53,15,16,31,-31,43,2.1,6,9,0,1,13,3,0,87,17.2,939,23,9,594,347,63.1,596,746,44.4,1.2,425,569,42.8,-0.6,9.6,87.6,97.1,48,52,37,42,-14.4,138,63,10500000
Tyler Toffoli,30,CGY,C,82,34,39,73,16,28,8.6,24,10,0,4,24,15,0,268,12.7,1362,14,59,7,5,58.3,1232,867,58.7,2.1,921,637,59.1,3.2,10.2,88.8,99,56.7,43.3,41,32,14.9,477,56.2,4250000
Yakov Trenin,26,NSH,C,77,12,12,24,-7,47,1.5,10,0,2,2,10,2,0,140,8.6,1166,30,167,14,22,38.9,823,945,46.5,-1.6,607,702,46.4,-1.4,6.8,92.1,98.9,36.8,63.2,44,43,-8.9,259,54.1,1700000
Vincent Trocheck,29,NYR,C,82,22,42,64,3,58,5.7,13,9,0,3,34,8,0,225,9.8,1584,44,182,721,565,56.1,1273,1121,53.2,4.5,947,821,53.6,4.5,9.5,90.3,99.8,49.7,50.3,55,64,3.7,410,54.9,5625000
Carter Verhaeghe,27,FLA,C,81,42,31,73,10,46,8.7,35,7,0,2,25,6,0,275,15.3,1418,31,29,20,21,48.8,1480,1142,56.4,3.1,1103,908,54.8,2.1,9.7,90.1,99.9,53.9,46.1,35,56,14,470,58.5,4166667
Gabriel Vilardi,23,LAK,C,63,23,18,41,10,18,4.8,18,5,0,6,14,4,0,122,18.9,983,33,41,52,61,46,734,663,52.5,-0.2,544,469,53.7,-0.8,9.2,92,101.3,54.3,45.7,23,16,8.5,207,58.9,825000
Nathan Walker,28,STL,C,56,2,8,10,10,25,0.5,2,0,0,1,8,0,0,43,4.7,576,35,82,95,82,53.7,376,522,41.9,-5,275,379,42,-5.3,11.6,94.7,106.3,41.9,58.1,8,6,-5.6,78,55.1,750000
Alexander Wennberg,28,SEA,C,82,13,25,38,-7,20,1.8,9,4,0,3,20,5,0,101,12.9,1533,63,43,627,748,45.6,1050,957,52.3,-0.1,790,702,52.9,-0.1,9.5,87.9,97.4,50.4,49.6,84,26,1.1,165,61.2,4500000
Colin White,26,FLA,C,68,8,7,15,0,12,1,8,0,0,0,7,0,0,64,12.5,655,29,61,84,111,43.1,539,523,50.8,-5.2,387,400,49.2,-6.2,8.7,91.3,100,52.2,47.8,14,16,-2.9,114,56.1,1200000
Pavel Zacha,25,BOS,C,82,21,36,57,26,16,6.1,18,3,0,3,30,5,1,131,16,1317,21,67,134,162,45.3,998,972,50.7,0,746,720,50.9,-0.4,13.3,91.3,104.6,55.8,44.2,31,35,7,220,59.5,3500000
Trevor Zegras,21,ANA,C,81,23,42,65,-24,88,5,19,4,0,3,29,13,0,184,12.5,1525,29,46,237,336,41.4,1180,1282,47.9,7.1,886,1033,46.2,5.9,10.7,88.7,99.5,65.4,34.6,31,75,-17.5,369,49.9,925000
Mika Zibanejad,29,NYR,C,82,39,52,91,25,20,10.6,18,20,1,5,32,19,1,251,15.5,1637,48,71,692,706,49.5,1126,1064,51.4,1.9,853,779,52.3,2.6,10.5,92.7,103.2,48.5,51.5,57,67,1.7,440,57,8500000
